# 9-point isotropic stencil, Laplace equation on unit square
# BC: u = 4*x*(1-x) on top edge (y=1); u = 0 elsewhere
# Columns: x   y   u_numerical   u_exact
#
   4.761905E-01   6.666667E-01   3.547708E-01   3.547714E-01
   5.238095E-01   6.666667E-01   3.547708E-01   3.547714E-01
   5.714286E-01   6.666667E-01   3.471094E-01   3.471100E-01
   6.190476E-01   6.666667E-01   3.319114E-01   3.319119E-01
   6.666667E-01   6.666667E-01   3.094300E-01   3.094306E-01
   7.142857E-01   6.666667E-01   2.800543E-01   2.800549E-01
   7.619048E-01   6.666667E-01   2.443184E-01   2.443191E-01
   8.095238E-01   6.666667E-01   2.029122E-01   2.029129E-01
   8.571429E-01   6.666667E-01   1.566888E-01   1.566894E-01
   9.047619E-01   6.666667E-01   1.066648E-01   1.066653E-01
   9.523810E-01   6.666667E-01   5.400714E-02   5.400742E-02
   1.000000E+00   6.666667E-01   0.000000E+00   4.439735E-17

   0.000000E+00   7.142857E-01   0.000000E+00   0.000000E+00
   4.761905E-02   7.142857E-01   6.329037E-02   6.329079E-02
   9.523810E-02   7.142857E-01   1.249319E-01   1.249327E-01
   1.428571E-01   7.142857E-01   1.833750E-01   1.833759E-01
   1.904762E-01   7.142857E-01   2.372421E-01   2.372431E-01
   2.380952E-01   7.142857E-01   2.853646E-01   2.853655E-01
   2.857143E-01   7.142857E-01   3.267882E-01   3.267890E-01
   3.333333E-01   7.142857E-01   3.607602E-01   3.607609E-01
   3.809524E-01   7.142857E-01   3.867099E-01   3.867105E-01
   4.285714E-01   7.142857E-01   4.042282E-01   4.042288E-01
   4.761905E-01   7.142857E-01   4.130518E-01   4.130523E-01
   5.238095E-01   7.142857E-01   4.130518E-01   4.130523E-01
   5.714286E-01   7.142857E-01   4.042282E-01   4.042288E-01
   6.190476E-01   7.142857E-01   3.867099E-01   3.867105E-01
   6.666667E-01   7.142857E-01   3.607602E-01   3.607609E-01
   7.142857E-01   7.142857E-01   3.267882E-01   3.267890E-01
